"Total energy consumption in the residential sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"138,197","147,795","154,619","160,740","165,536","169,334","175,736","189,505","202,494","212,764","226,513","230,769","235,378","242,946","234,660","238,469","248,272","251,611","260,763","268,349","272,854","259,700","261,182","261,147","287,746","280,848","292,043","309,881","333,240","334,530","326,233","344,035","344,597","376,265","372,712","376,482","395,920","370,920","364,878","383,832","402,956","386,994","406,325","427,908","439,835","446,377","403,916","426,860","414,423","415,430","440,499","402,872","385,120","412,691","424,077","408,630","389,207","363,545","392,117","372,662","356,151","364,903","370,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"61,932","69,892","69,720","73,189","65,423","66,780","63,552","71,018","75,058","78,101","79,551","81,434","87,214","84,393","83,495","83,731","99,193","106,509","101,968","92,808","82,512","73,911","73,116","65,091","69,404","80,625","85,048","85,072","92,184","91,242","72,525","72,373","74,180","77,202","74,434","75,491","83,542","75,455","79,359","80,259","80,098","83,296","76,779","95,545","101,232","98,671","86,661","91,143","80,301","83,239","81,849","80,192","72,119","77,066","82,379","98,402","87,825","88,061","95,005","92,825","85,465","84,569","86,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"469,539","490,189","511,205","511,087","511,153","543,980","575,721","603,659","632,449","659,871","682,478","706,470","744,791","732,427","723,418","714,894","729,666","697,568","733,134","726,034","744,278","700,904","689,264","676,183","672,140","680,226","675,918","672,392","733,835","756,226","721,196","724,067","734,345","743,666","727,514","766,183","807,613","781,666","736,163","780,797","804,069","810,739","858,254","870,157","832,732","877,245","787,361","810,711","804,655","751,885","748,224","759,404","696,038","763,438","777,658","730,993","720,038","712,366","775,762","771,464","747,393","733,088","753,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"190,156","194,841","204,036","201,933","211,130","230,525","245,781","246,096","260,860","274,646","287,766","292,688","307,069","296,869","302,302","302,209","308,422","301,511","315,998","312,785","290,796","277,773","305,961","285,396","287,115","297,708","292,367","282,922","320,974","335,031","324,448","341,683","324,271","338,057","338,492","357,908","380,564","356,853","327,862","348,857","364,813","365,434","392,408","420,864","404,292","402,021","384,229","405,047","408,068","393,067","386,629","380,318","352,318","395,117","408,312","358,029","353,513","359,681","404,921","392,805","376,199","379,804","402,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"226,389","229,461","235,443","234,772","236,272","243,576","255,543","261,208","278,704","301,700","313,140","316,363","334,446","332,873","332,270","356,131","361,328","373,624","397,720","396,427","388,820","345,789","355,947","369,249","360,819","363,318","360,937","363,425","388,285","393,256","395,014","429,195","400,871","451,525","435,743","457,707","488,689","476,078","470,046","476,973","499,068","507,721","511,543","508,579","499,636","538,882","517,439","532,171","543,200","522,284","557,291","534,438","486,841","530,934","554,267","490,004","484,617","462,201","545,514","515,114","485,469","484,765","512,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"82,484","80,193","84,662","87,639","92,463","90,938","101,216","99,567","113,698","122,519","137,957","145,919","155,781","157,852","151,744","140,674","141,961","153,715","159,134","153,991","154,794","149,204","152,254","149,535","155,814","159,157","158,800","161,129","166,864","170,601","181,113","182,337","184,206","192,772","197,762","206,016","216,059","207,417","223,766","226,778","246,012","220,722","238,018","237,831","230,335","230,910","229,386","231,684","227,522","220,730","240,291","228,371","194,273","210,681","217,703","196,642","187,712","178,116","200,442","195,828","178,955","189,479","191,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"35,662","36,745","36,786","36,295","38,852","40,131","40,745","41,058","42,437","45,134","49,207","51,548","51,977","53,327","50,858","56,962","58,221","59,103","65,826","65,857","58,675","54,834","61,596","58,828","60,502","64,756","57,455","53,348","57,169","62,087","51,762","53,541","51,974","56,640","56,050","56,319","58,193","58,088","55,896","54,008","61,055","62,167","61,989","65,951","67,184","72,278","72,007","74,844","79,387","75,794","73,498","72,147","66,698","71,990","72,781","77,169","76,029","80,998","85,323","91,791","79,197","82,173","90,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"225,676","232,885","245,127","246,364","241,239","247,234","269,151","274,310","296,531","308,323","324,047","329,621","336,170","341,775","323,924","326,125","355,639","382,917","389,087","392,507","384,357","367,425","361,332","363,113","408,400","401,894","421,337","449,335","468,955","471,561","448,572","468,784","484,232","529,227","506,404","547,783","585,390","552,273","576,761","589,154","640,967","621,695","655,006","651,575","686,947","708,033","682,922","718,536","726,159","716,813","791,783","719,137","659,230","668,306","701,603","669,460","664,030","620,569","685,700","656,864","621,106","658,088","672,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"29,951","29,486","31,037","31,255","31,102","29,360","33,036","32,958","34,988","36,101","36,914","36,272","39,977","35,935","38,148","40,109","41,421","41,661","47,253","51,530","47,839","48,348","51,279","47,996","47,751","51,302","49,687","45,422","50,802","52,744","50,716","54,190","50,953","53,404","52,501","54,854","59,426","58,079","53,817","55,506","58,297","59,985","61,551","62,979","62,380","60,513","58,692","62,500","66,893","64,841","60,700","61,873","58,302","67,154","70,636","63,406","60,615","59,819","66,028","68,816","57,164","59,655","63,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"75,583","77,419","82,487","81,160","85,549","91,691","97,810","97,624","103,669","113,354","122,524","123,471","125,627","117,327","114,066","119,875","122,892","121,957","122,103","119,714","120,712","114,475","125,841","126,865","122,532","122,665","117,623","114,675","124,890","127,037","127,649","135,384","126,022","140,245","137,800","140,228","148,277","146,608","143,515","140,468","149,201","155,797","157,010","153,895","149,532","154,986","151,009","158,502","164,053","157,146","160,470","155,956","142,280","158,332","157,086","141,298","140,746","135,021","156,010","155,451","142,462","141,562","143,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"39,103","44,715","47,195","49,866","46,343","47,743","47,104","51,692","55,805","60,000","62,564","66,671","71,073","71,487","68,811","67,032","78,593","77,025","79,327","64,697","62,145","60,470","58,185","58,878","63,807","68,125","67,591","75,061","77,093","83,191","75,552","74,121","76,398","76,843","76,843","78,072","80,823","78,822","77,301","80,289","82,465","83,669","84,264","93,195","93,801","92,008","86,710","88,458","85,615","88,238","86,319","85,211","79,084","89,304","94,952","98,671","91,884","96,668","104,006","102,012","95,592","91,471","94,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"302,058","324,372","338,195","359,430","366,594","382,135","399,924","426,200","445,250","468,643","481,146","489,333","519,155","520,089","487,022","479,733","513,367","500,929","497,421","443,042","487,470","491,310","463,290","460,866","477,021","482,898","487,752","512,213","543,517","550,261","512,187","521,279","531,585","542,762","576,306","547,624","569,892","550,146","532,411","567,201","582,731","575,601","591,176","639,805","634,057","636,062","573,535","614,709","598,698","586,415","593,651","569,610","533,050","575,880","589,360","576,590","533,122","528,924","576,959","552,749","543,039","562,563","566,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"41,736","45,091","45,857","49,699","49,441","47,326","53,163","55,882","58,257","56,681","60,226","62,633","67,297","55,742","57,620","59,253","69,960","61,238","61,615","67,267","65,444","59,656","63,598","66,500","68,663","70,224","67,674","70,321","71,479","72,656","79,454","80,834","82,908","83,277","82,023","81,893","90,246","96,001","96,269","98,499","100,927","103,384","104,043","103,430","107,616","115,423","111,925","117,901","117,676","113,248","117,620","117,637","112,180","119,297","112,441","113,570","111,529","104,100","109,792","121,796","111,856","105,918","107,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"12,914","13,693","15,032","19,350","24,067","22,373","24,948","25,210","26,631","30,099","34,330","38,060","40,549","43,219","43,114","44,748","44,578","47,571","52,729","57,233","58,458","56,995","62,701","57,181","61,602","64,474","62,143","66,037","72,472","78,392","85,004","87,862","89,876","94,627","104,567","99,610","113,145","115,765","120,013","124,473","135,162","139,134","135,257","145,314","150,471","151,706","159,316","157,732","153,425","145,380","144,638","143,868","140,774","145,857","137,214","136,666","139,793","143,323","148,952","150,970","158,047","156,285","157,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
