"Total energy expenditures in the residential sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,387.3,427.7,457.1,517.4,644.7,752.8,812.9,904.5,"1,023.2","1,173.5","1,462.9","1,595.2","1,713.2","1,822.9","1,978.4","1,920.2","1,925.6","1,958.5","2,020.0","2,116.1","2,124.5","2,335.3","2,361.9","2,641.0","2,666.6","2,684.8","2,942.0","2,832.7","2,730.7","2,872.1","3,129.4","3,095.6","3,079.7","3,500.9","3,719.3","4,266.3","4,339.6","5,225.4","5,809.4","5,797.5","5,944.4","5,322.0","4,920.9","5,357.4","5,740.2","5,412.4","5,156.4","5,037.4","5,329.7","5,102.5","4,973.5","5,333.8","6,185.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,137.1,145.5,161.8,172.4,235.6,255.0,303.1,356.3,348.0,409.6,487.5,521.3,519.8,427.2,499.2,585.8,546.9,557.3,611.5,645.3,688.7,720.1,721.9,731.8,751.2,797.5,892.4,865.7,827.0,851.1,"1,018.3","1,037.8",952.6,"1,207.2","1,369.3","1,605.5","1,612.8","1,832.8","1,834.9","1,547.0","1,577.2","1,754.5","1,635.2","1,700.6","1,818.0","1,667.0","1,490.5","1,612.2","1,864.8","1,837.6","1,566.6","1,703.6","2,401.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,949.5,"1,029.7","1,120.1","1,231.0","1,505.4","1,743.9","1,969.3","2,134.1","2,332.6","2,581.8","3,031.6","3,303.6","3,609.6","3,967.8","4,068.4","4,292.7","4,061.3","3,912.3","4,189.2","4,400.4","4,195.0","4,408.3","4,373.9","4,542.7","4,553.8","4,669.3","5,123.0","5,077.3","4,722.0","5,038.0","5,237.0","5,603.3","6,038.5","6,655.4","6,839.3","8,118.1","8,112.1","8,395.0","9,038.4","8,536.7","8,719.2","8,972.4","8,394.3","9,011.5","9,434.5","8,382.9","8,418.8","8,440.3","9,197.0","8,947.7","9,074.9","9,915.5","11,064.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,461.6,486.9,533.3,594.2,682.3,747.4,834.2,905.0,"1,006.7","1,127.0","1,327.4","1,450.2","1,760.0","1,737.3","1,734.7","1,754.0","1,670.7","1,560.6","1,769.6","1,869.7","1,787.7","1,887.2","1,848.1","2,034.8","2,041.2","2,099.8","2,392.7","2,319.5","2,091.1","2,225.7","2,693.5","2,939.2","2,725.8","3,183.7","3,337.7","3,764.0","3,793.4","4,115.3","4,514.8","3,951.7","4,036.0","4,223.3","3,880.3","4,443.1","5,000.2","4,127.2","4,091.4","4,403.2","4,868.6","4,708.4","4,571.7","5,095.4","6,128.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,484.3,509.9,563.2,643.2,687.3,839.8,934.7,"1,095.9","1,243.9","1,438.6","1,628.4","1,631.1","1,942.5","2,216.4","2,035.8","2,066.6","2,113.9","2,174.7","2,301.0","2,346.6","2,378.2","2,552.0","2,357.1","2,657.9","2,601.8","2,673.8","2,988.5","2,985.1","2,888.1","2,900.3","3,255.4","3,762.2","3,422.7","3,583.6","3,692.3","4,133.0","4,216.6","4,537.4","4,969.3","4,709.6","5,114.6","5,200.1","4,854.2","5,316.8","5,601.9","5,193.8","5,038.7","5,123.8","5,801.2","5,513.2","5,223.9","5,514.9","6,421.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,191.6,217.5,260.5,296.5,338.9,332.2,399.6,477.4,514.8,550.9,665.2,752.4,823.1,829.2,828.5,853.8,913.4,955.2,979.2,"1,007.7","1,062.0","1,077.2","1,070.3","1,176.2","1,196.0","1,211.3","1,335.8","1,313.0","1,385.4","1,340.7","1,606.6","1,760.6","1,642.3","1,729.8","1,841.1","2,046.2","2,245.6","2,208.5","2,492.5","2,336.3","2,504.1","2,432.5","2,196.9","2,406.0","2,668.4","2,459.5","2,264.4","2,288.5","2,568.3","2,509.0","2,361.6","2,573.6","2,849.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,66.7,71.8,76.0,87.9,94.1,106.9,114.1,129.8,156.5,167.6,189.0,199.2,253.8,264.0,264.2,298.0,263.7,265.8,275.5,302.9,305.3,323.6,300.9,334.4,333.9,346.6,384.3,385.4,360.9,370.8,425.3,466.4,447.2,531.5,612.0,701.1,745.7,792.3,948.8,835.6,801.5,896.7,805.7,848.9,911.7,870.3,831.5,945.1,966.3,"1,018.6",944.9,"1,038.6","1,257.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,486.9,530.2,574.4,646.6,809.4,901.7,"1,069.4","1,248.0","1,350.2","1,523.2","1,804.5","2,022.6","2,172.1","2,315.8","2,638.3","2,624.1","2,784.9","3,024.5","3,140.1","3,245.8","3,251.0","3,409.6","3,542.1","3,882.2","3,784.0","3,991.6","4,346.1","4,241.5","4,309.5","4,343.1","4,947.9","5,098.9","5,114.1","5,527.8","5,939.9","6,478.7","6,564.3","6,999.9","7,450.5","7,370.4","8,241.2","7,684.4","7,317.7","7,741.7","8,292.4","7,954.6","7,713.2","7,457.9","8,436.8","8,341.0","8,030.0","8,580.5","9,320.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,67.4,68.7,76.4,79.5,91.7,104.4,119.2,129.1,153.6,196.2,211.2,247.7,271.9,277.3,300.9,302.4,281.1,264.2,281.4,293.7,289.4,304.5,289.9,305.2,305.2,309.3,346.7,350.8,311.3,329.2,387.2,415.4,375.7,434.0,474.6,532.4,513.0,546.4,669.9,566.8,581.1,641.0,591.1,684.4,782.2,641.8,624.2,677.1,733.5,762.2,685.5,769.7,895.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,170.0,180.8,191.9,205.4,219.0,255.0,292.8,330.6,350.3,382.2,440.7,501.6,568.1,696.8,657.7,651.6,598.7,587.0,635.3,666.7,658.7,690.1,655.1,732.2,725.5,740.0,787.8,829.0,783.3,774.5,897.0,"1,046.9",950.7,"1,025.2","1,049.7","1,186.1","1,206.5","1,309.6","1,450.9","1,341.0","1,428.9","1,447.6","1,352.4","1,518.2","1,576.3","1,406.7","1,391.6","1,442.0","1,586.9","1,556.3","1,521.5","1,606.8","1,826.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
