"Total energy consumption in the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"274,530","269,254","279,377","279,962","325,883","337,886","351,289","326,001","344,216","392,253","384,241","401,182","426,272","463,840","430,387","429,741","471,850","455,491","492,954","505,912","430,422","404,507","378,409","387,442","406,071","412,830","413,734","441,317","471,065","486,473","533,797","521,194","535,020","540,541","555,433","592,647","615,919","615,368","609,341","615,768","624,254","522,489","532,177","555,904","578,058","573,975","577,103","596,580","619,313","554,146","635,976","634,838","624,138","623,489","646,602","592,309","598,465","596,965","609,825","599,992","550,222","578,780","567,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"293,905","290,472","298,936","308,202","322,999","355,257","372,940","359,005","378,482","391,764","390,932","386,159","393,484","427,457","415,209","395,812","386,529","398,604","394,199","392,425","349,542","367,416","335,769","310,865","318,516","335,377","309,969","312,981","328,424","316,228","321,730","314,734","321,487","332,129","354,821","359,091","369,277","366,006","365,603","397,644","371,907","390,990","386,835","379,353","404,921","430,287","441,955","430,404","395,788","341,992","362,923","347,737","352,351","350,903","362,147","356,361","302,588","299,678","306,735","295,268","298,776","296,688","293,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"152,071","157,371","163,029","180,288","207,130","208,693","240,424","243,531","266,553","280,597","310,959","323,587","340,555","340,266","315,221","299,085","301,250","313,846","320,114","324,357","295,390","287,626","300,677","313,247","349,064","316,270","306,550","302,791","332,253","376,420","434,085","431,692","442,595","442,106","446,092","452,339","453,801","431,313","400,956","468,178","464,343","407,846","410,985","415,213","443,372","421,953","439,224","445,067","409,445","374,707","412,030","408,881","417,169","400,274","399,716","392,673","385,679","400,047","408,078","394,162","385,193","396,172","405,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"101,198","110,261","117,554","124,063","130,290","124,042","135,524","123,091","137,933","158,880","158,640","163,231","164,960","161,939","167,223","153,177","165,362","165,616","164,293","183,690","162,211","148,519","120,548","121,997","131,250","146,804","139,882","140,117","144,517","147,856","134,364","135,749","134,054","136,027","141,743","151,352","145,271","125,284","150,454","154,821","153,298","110,747","123,298","121,658","135,229","139,860","152,112","172,811","160,969","134,487","118,512","109,088","114,618","115,962","114,672","115,754","111,762","115,980","118,574","123,739","114,608","115,918","117,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"287,404","299,715","315,501","324,565","348,564","355,651","394,810","406,193","419,149","438,064","457,479","483,322","520,234","543,895","514,438","480,988","527,917","556,173","545,247","606,907","575,625","545,119","508,995","539,827","590,208","581,476","601,688","620,940","637,376","654,733","690,605","661,998","722,900","729,682","723,490","767,272","750,992","758,653","741,555","723,637","740,735","709,692","673,226","655,911","656,501","645,536","635,120","604,025","598,488","517,081","564,267","562,156","563,951","553,378","544,051","546,235","545,231","546,105","546,203","536,569","506,749","529,702","533,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"73,970","70,438","71,733","76,337","77,131","74,438","76,021","78,736","77,708","78,351","75,772","76,361","76,431","76,063","73,388","71,068","71,138","67,972","73,676","76,502","64,917","82,162","72,539","76,740","101,079","138,491","148,419","155,020","150,352","159,645","156,112","159,695","169,143","165,200","174,362","175,198","168,005","174,933","178,934","188,582","190,841","201,897","189,650","187,653","187,831","194,684","204,356","205,959","213,792","211,142","237,110","262,460","273,734","289,244","322,955","307,557","297,151","329,300","340,305","343,229","360,566","380,422","380,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"91,535","92,787","93,804","94,166","99,982","96,807","121,114","96,711","106,886","113,712","124,375","124,882","125,805","143,860","150,235","156,616","166,349","161,641","160,477","165,129","143,586","128,511","120,866","119,464","120,420","118,957","111,446","123,458","130,645","132,270","133,926","133,264","133,803","150,260","160,508","173,559","178,879","191,692","208,866","199,460","203,584","207,434","210,602","223,138","237,053","238,792","254,036","279,299","307,143","303,052","352,959","361,068","374,598","368,117","365,286","363,414","379,177","378,228","371,940","366,803","356,968","379,505","381,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"27,310","27,488","31,800","32,977","34,962","31,993","42,456","36,403","39,026","48,459","52,628","59,046","62,370","64,040","56,901","54,016","63,069","66,214","63,320","55,069","55,727","52,958","53,559","56,000","63,584","67,124","74,047","76,208","72,470","63,074","65,161","55,683","64,120","61,633","48,491","49,422","53,170","50,687","48,443","49,215","55,181","51,631","46,283","50,112","53,257","50,554","45,215","42,799","41,238","35,771","38,329","39,199","39,125","41,673","42,039","40,765","39,789","44,608","40,886","39,245","38,410","38,099","38,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"473,872","495,809","531,610","529,710","534,086","547,186","583,671","604,824","622,395","636,863","641,510","602,409","619,920","645,092","588,992","525,723","584,959","579,859","577,191","649,357","574,433","529,179","495,664","466,257","494,732","447,856","444,437","470,619","466,420","457,215","440,419","443,086","513,054","548,344","535,722","547,071","527,887","547,332","532,180","565,360","410,539","441,138","423,749","394,175","384,716","388,809","363,557","365,314","315,108","262,023","270,220","275,368","273,256","269,317","257,769","261,464","257,412","253,901","259,751","258,978","235,496","239,715","258,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"168,059","163,515","188,000","176,616","170,225","154,343","169,913","178,146","188,030","176,738","191,189","191,783","201,022","194,090","189,002","178,195","197,866","176,976","167,386","165,873","161,934","147,279","152,052","163,018","174,661","150,748","131,193","149,450","146,444","152,006","191,585","187,414","193,003","193,439","195,582","203,888","220,336","206,622","196,963","195,359","211,594","203,002","200,200","215,606","225,616","222,595","225,490","248,401","227,007","208,976","211,661","219,912","222,314","217,325","225,793","222,199","217,821","220,053","219,529","231,169","224,891","237,942","248,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"22,911","30,148","29,513","30,543","28,828","28,989","36,478","33,871","33,173","36,759","40,544","42,475","45,334","48,959","47,934","44,079","52,484","52,391","54,179","72,128","74,059","71,559","72,547","79,948","67,787","65,320","63,646","71,357","80,619","101,114","107,315","104,810","113,939","120,008","133,635","145,032","149,263","150,237","156,208","156,935","158,904","161,983","152,013","161,699","174,724","182,235","187,531","177,518","173,187","160,791","161,950","152,267","153,087","154,990","167,142","147,663","154,300","153,544","154,265","153,982","136,638","142,204","142,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"866,299","917,731","990,852","957,098","1,010,412","1,113,275","1,166,011","1,124,290","1,131,173","1,160,217","1,159,439","1,056,686","1,026,253","1,106,697","1,040,940","915,643","1,030,098","1,034,745","999,439","1,010,730","893,734","840,611","767,119","702,159","706,873","706,614","644,813","675,416","705,836","689,736","668,231","650,749","680,913","668,848","660,506","663,371","684,473","670,330","648,530","595,512","577,750","539,572","510,231","474,234","481,199","474,865","408,271","438,968","379,795","339,506","341,720","344,215","337,932","373,602","371,354","374,987","367,332","361,833","367,397","360,524","333,417","343,397","329,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"1,556,605","1,462,766","1,527,238","1,581,492","1,661,258","1,745,816","1,828,256","1,772,942","1,860,020","1,908,695","1,920,065","1,812,724","1,935,222","2,005,831","1,988,567","1,814,064","1,933,290","1,942,813","1,934,957","2,059,412","1,775,780","1,717,913","1,415,886","1,372,701","1,493,671","1,488,716","1,394,750","1,459,049","1,510,618","1,557,687","1,593,638","1,525,282","1,581,510","1,538,819","1,638,983","1,635,857","1,636,396","1,629,742","1,603,687","1,641,694","1,607,933","1,433,659","1,318,380","1,335,929","1,339,089","1,329,632","1,297,144","1,325,322","1,322,123","1,108,424","1,224,151","1,211,872","1,207,740","1,197,613","1,227,527","1,194,717","1,186,701","1,178,161","1,208,423","1,166,919","1,086,836","1,145,085","1,136,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"251,048","249,677","339,781","395,211","415,388","378,559","328,186","326,121","363,373","382,637","392,536","409,083","418,397","413,778","445,698","437,428","499,788","519,357","538,456","609,659","509,474","505,686","517,087","508,745","531,909","513,652","465,499","519,573","512,297","533,623","575,368","528,838","540,105","564,509","566,062","553,534","556,096","565,821","539,552","525,427","517,587","500,027","482,244","511,558","540,709","553,206","586,583","564,323","560,360","502,702","540,442","551,339","569,417","571,365","589,260","578,756","587,046","603,629","621,532","618,080","600,123","599,490","617,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
