"Total energy consumption in the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"69,881","68,629","70,497","75,730","81,418","86,301","93,318","100,331","106,402","114,980","123,938","136,735","144,330","152,232","143,960","144,324","153,948","154,224","153,713","163,211","156,090","146,875","150,257","160,273","150,734","144,241","149,606","168,023","168,236","166,090","172,041","187,765","196,472","204,530","229,038","345,722","336,681","341,801","363,178","370,076","383,340","387,415","330,797","281,661","285,057","291,586","412,371","422,622","416,570","411,295","419,981","409,923","402,405","407,031","408,444","410,822","403,734","383,884","387,712","376,793","334,671","343,803","350,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"16,065","17,625","17,873","19,015","19,043","19,236","18,961","19,328","20,232","22,103","24,133","27,332","29,323","29,434","28,427","30,597","35,527","37,868","36,492","33,270","36,398","34,516","35,157","36,825","43,370","41,190","49,144","46,275","58,041","60,278","53,390","53,523","49,547","51,507","49,900","39,293","48,166","43,704","45,120","46,989","54,114","51,458","53,262","60,584","60,216","59,670","53,652","65,031","63,798","57,204","56,891","56,451","52,955","51,921","55,626","60,112","55,435","56,007","59,582","56,032","53,787","57,764","58,309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"166,664","170,650","197,436","203,455","210,032","229,357","249,097","260,198","280,466","300,446","311,441","335,249","360,914","392,093","394,013","376,293","384,248","345,739","356,535","387,015","405,157","380,702","374,614","368,073","378,465","378,627","366,198","415,936","417,534","443,727","455,427","449,340","454,317","537,191","540,143","569,832","598,219","596,002","593,145","614,988","636,613","608,678","625,634","614,931","646,378","655,456","625,907","639,700","629,827","597,615","589,937","605,943","574,782","591,320","612,438","587,681","583,134","584,665","605,571","598,240","554,714","568,372","579,018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"62,097","66,191","80,171","82,775","63,834","70,039","83,759","111,519","117,988","127,659","134,404","136,985","144,300","145,228","155,116","161,212","155,419","145,947","160,866","139,464","139,454","145,070","159,179","165,322","178,094","179,591","167,189","160,937","184,818","191,249","202,266","202,028","192,519","196,780","201,363","217,832","229,532","225,360","213,422","222,866","233,917","316,814","331,271","353,406","335,383","342,848","337,211","340,734","344,810","332,911","326,484","322,984","308,996","336,213","345,683","326,928","325,916","328,729","348,131","330,672","309,285","317,716","337,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"107,986","104,731","109,244","109,225","116,520","116,163","143,075","161,020","165,927","169,503","181,696","185,548","197,224","196,222","192,210","195,607","242,605","247,251","256,781","256,005","233,678","214,784","220,815","224,458","236,513","236,302","243,815","258,009","274,184","278,731","297,004","312,995","306,700","329,758","332,536","345,869","366,972","368,979","369,500","380,165","399,783","402,241","398,847","398,211","403,433","414,766","412,200","413,232","421,107","406,902","414,247","408,410","393,398","406,043","423,862","407,423","404,871","395,460","418,454","394,211","365,171","374,778","383,807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"32,733","35,537","39,018","41,663","44,434","37,055","42,472","45,116","50,562","53,263","63,017","67,669","72,401","76,976","79,624","78,156","79,484","85,627","90,037","119,562","101,001","102,671","84,234","89,101","85,279","88,351","87,769","90,541","92,442","100,989","108,434","107,954","107,824","107,335","114,123","120,911","126,689","148,430","159,194","164,826","172,577","155,875","166,910","172,424","168,755","163,674","164,077","174,097","165,625","158,955","164,910","163,481","149,470","159,983","162,098","157,690","153,852","152,740","156,775","154,197","139,021","147,216","150,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"25,236","25,734","25,885","26,765","29,134","28,164","28,092","30,022","28,780","32,234","35,733","36,442","38,743","39,403","36,850","42,217","42,562","42,458","45,207","45,365","40,261","40,414","43,084","48,265","70,865","65,086","61,600","44,458","47,720","49,018","42,367","43,188","44,586","45,844","48,076","44,744","44,871","45,170","45,697","41,070","51,855","54,705","54,094","59,182","58,599","59,828","60,797","59,415","61,157","67,258","64,344","63,310","60,954","63,943","64,020","64,259","65,548","67,377","71,211","74,022","66,104","68,945","72,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"54,220","55,326","61,316","64,327","69,213","82,520","94,359","107,533","122,585","136,201","145,850","159,970","168,854","181,478","173,063","165,087","172,493","183,598","188,565","192,087","203,674","211,328","206,946","223,273","250,220","256,524","267,732","290,048","309,111","321,476","333,277","344,331","353,614","375,981","380,020","402,670","425,364","423,632","450,627","470,298","503,473","505,876","516,166","520,671","547,757","559,288","561,533","580,128","589,518","580,440","597,153","563,483","554,123","537,635","555,860","561,450","559,884","540,968","551,816","544,677","498,425","524,688","558,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"12,003","12,327","13,310","13,540","13,384","16,005","19,074","17,687","18,532","19,126","20,603","20,576","22,520","23,413","27,789","27,765","27,715","26,712","31,097","31,976","32,287","28,154","31,305","30,103","33,350","35,703","32,751","29,900","32,384","34,037","37,631","39,299","36,407","37,753","39,051","42,618","45,353","44,565","43,966","44,163","47,417","54,559","58,723","56,885","57,826","58,383","56,944","61,171","63,173","61,554","60,963","66,333","66,975","78,423","75,023","77,495","75,606","75,429","79,799","83,362","73,008","77,213","89,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"40,161","41,349","42,530","43,950","46,635","49,345","54,492","65,786","72,786","84,424","88,913","91,788","90,629","85,469","87,317","85,161","94,346","94,858","88,298","91,438","88,870","90,567","94,961","95,339","106,252","103,407","97,703","97,546","107,558","107,854","113,076","119,286","111,057","112,798","123,991","127,309","129,723","128,817","123,315","120,673","133,189","131,853","134,563","129,811","131,642","132,163","134,351","139,490","144,691","137,355","138,045","131,229","127,349","135,533","135,469","129,940","127,266","124,485","136,615","135,691","122,190","123,360","122,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"7,835","8,564","9,253","9,812","9,804","9,757","10,025","11,374","11,945","13,404","14,808","16,118","17,238","17,615","16,924","17,038","18,520","19,084","20,200","18,872","25,808","24,238","25,973","24,318","26,261","27,654","33,618","39,848","40,053","41,900","42,909","42,216","41,030","41,841","54,685","53,431","55,024","55,556","53,759","57,008","63,703","64,494","66,972","70,762","71,992","73,929","66,845","68,133","66,242","65,269","64,152","64,065","64,086","67,297","68,450","69,668","68,376","67,181","70,289","68,265","62,633","64,502","64,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"160,721","182,333","194,294","197,758","204,782","203,634","228,763","255,887","267,075","277,144","313,838","317,326","333,739","346,973","321,470","306,571","374,499","337,531","330,246","341,627","367,457","347,232","339,481","338,576","362,388","362,436","392,332","408,972","441,500","472,095","498,323","504,987","506,030","511,447","526,681","522,515","530,751","538,227","536,619","579,961","578,511","554,459","576,134","604,240","631,593","648,416","616,042","646,384","633,117","627,353","626,137","625,516","594,752","594,817","618,691","585,361","558,812","549,325","571,818","544,690","502,301","528,858","545,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"21,879","24,136","27,378","26,277","30,652","31,157","34,468","50,218","55,295","55,276","61,714","64,656","66,173","61,170","60,958","55,732","70,148","64,657","64,306","65,693","68,647","64,777","65,257","74,559","78,183","71,362","75,289","78,769","92,245","94,205","95,236","96,025","98,993","101,425","99,457","100,773","107,285","107,315","111,207","114,559","123,014","124,443","128,862","122,236","123,318","124,392","122,242","124,803","123,574","117,832","120,096","122,811","121,168","121,615","120,307","119,993","116,175","112,109","109,800","116,264","103,173","102,113","102,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"9,665","10,389","11,505","13,585","16,110","17,808","21,274","24,474","27,078","30,267","34,942","38,136","42,425","44,509","45,639","47,825","48,349","47,885","53,321","43,752","32,822","33,689","30,632","36,365","50,036","51,729","51,640","56,884","60,450","65,267","69,536","71,142","72,862","78,494","86,090","85,713","94,872","93,549","94,907","100,550","104,468","103,284","107,740","111,617","114,455","115,738","119,850","118,028","116,450","108,445","109,770","110,952","108,529","110,740","109,458","112,452","114,380","124,303","132,787","131,154","122,058","128,605","129,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"540,323","526,401","545,294","615,386","606,034","699,719","767,525","822,987","840,352","857,440","893,663","890,676","908,852","932,069","862,653","831,046","899,389","907,949","908,618","813,084","858,375","799,575","834,370","791,364","875,414","884,412","942,291","946,020","996,436","1,016,106","988,888","980,317","997,367","1,005,695","996,166","1,032,043","1,050,420","1,127,938","1,131,576","1,230,907","1,256,937","1,233,544","1,250,636","1,280,691","1,338,500","1,235,490","1,144,291","1,138,328","1,140,061","1,094,737","1,115,120","1,076,997","1,006,951","1,040,097","1,038,982","1,047,130","1,020,032","1,005,700","1,044,238","1,013,553","912,205","938,029","969,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"250,003","251,033","265,523","269,868","270,631","286,793","305,722","324,092","347,229","377,777","403,669","419,337","455,006","462,216","466,285","430,357","457,992","448,889","469,464","443,250","446,827","464,107","460,557","462,720","497,005","484,512","502,710","523,709","559,934","573,136","580,503","606,751","607,072","628,752","637,403","665,784","683,841","683,068","666,273","691,039","720,882","687,127","685,145","708,894","721,861","725,735","686,693","719,116","719,684","694,530","704,321","703,092","664,809","685,355","702,886","693,819","683,110","663,229","685,362","659,745","613,932","635,293","651,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"57,203","50,701","54,007","59,861","63,743","66,292","69,932","80,565","89,251","91,949","99,833","101,064","111,223","111,286","113,444","122,103","129,786","142,390","143,864","146,965","148,885","160,153","170,548","174,862","168,346","170,481","160,679","157,775","182,335","172,871","195,090","184,656","173,906","182,888","185,966","188,437","204,224","211,927","215,634","210,830","226,988","230,056","228,029","224,516","222,289","224,792","228,733","234,346","234,518","230,007","235,820","234,862","228,785","234,315","240,225","228,964","214,724","205,548","214,452","200,719","182,306","193,488","208,761",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"53,273","54,600","58,492","64,088","71,563","72,780","78,110","81,178","86,388","95,381","102,348","110,758","121,207","122,613","119,241","123,425","121,163","125,676","131,314","139,356","146,443","126,046","130,046","123,554","133,935","138,055","134,691","139,186","148,649","155,729","96,197","94,017","109,949","109,437","121,140","104,603","99,443","100,745","112,166","113,510","130,701","137,369","120,879","121,242","115,674","123,424","116,592","124,273","126,476","122,630","119,263","112,227","110,870","119,387","115,321","120,769","121,671","129,868","128,741","137,656","126,188","132,622","133,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
