"Total energy expenditures, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"1,521.5","1,693.3","1,826.3","2,091.6","2,948.3","3,255.0","3,595.7","3,911.1","4,237.6","5,109.3","6,436.6","7,208.8","7,093.5","7,121.0","7,392.0","7,401.3","6,785.8","7,043.7","7,240.6","7,859.3","8,045.4","8,119.4","8,241.4","8,651.0","8,814.8","8,955.1","9,664.6","9,616.6","9,178.0","9,794.9","11,258.3","11,221.2","10,786.1","12,458.1","14,113.4","17,428.9","19,403.3","21,300.8","24,170.5","20,138.6","21,737.2","23,551.0","22,970.8","23,324.0","23,493.6","19,705.1","17,894.6","18,968.3","20,414.2","19,513.6","15,959.7","19,816.0","24,773.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,438.1,495.3,528.4,576.5,848.5,873.8,"1,014.0","1,168.1","1,164.4","1,423.3","1,786.6","2,022.0","2,185.4","1,874.6","2,092.3","2,191.7","1,991.3","2,050.2","2,319.0","2,408.5","2,650.6","2,653.0","2,679.4","2,727.7","2,844.4","2,849.6","3,089.3","3,103.6","2,769.7","2,964.2","3,735.3","3,573.5","3,643.8","4,098.3","4,655.4","5,619.3","6,214.9","6,964.6","7,599.0","5,760.9","6,289.8","7,396.4","7,086.6","7,432.1","7,571.3","6,040.9","5,271.9","5,601.6","6,150.8","5,878.5","4,882.2","6,028.6","8,347.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"3,718.3","3,986.3","4,349.5","5,041.5","6,691.8","7,560.3","8,470.3","9,150.1","9,868.1","11,696.8","14,050.2","15,093.3","14,816.7","14,978.7","15,604.5","16,296.2","14,542.4","14,568.4","15,265.2","16,005.9","16,734.2","16,810.4","16,795.3","16,955.0","17,248.9","17,684.5","19,105.6","19,144.1","17,906.7","19,466.2","22,219.7","21,789.6","22,114.8","24,121.8","26,772.5","32,127.3","34,457.0","36,088.5","39,005.0","31,281.9","34,782.5","39,878.4","39,311.8","40,914.2","40,922.3","33,018.2","30,952.3","32,733.9","36,318.5","34,802.1","29,106.0","36,740.4","46,032.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"1,650.2","1,761.9","1,895.6","2,121.3","2,773.7","3,097.5","3,474.2","3,763.4","4,117.2","5,061.6","6,065.9","6,685.7","7,128.1","7,044.9","7,359.1","7,377.1","6,349.1","6,263.1","6,789.3","7,190.7","7,624.7","7,705.6","7,792.5","8,300.4","8,483.3","8,759.8","9,802.0","9,801.7","9,021.6","9,709.8","12,223.7","12,421.0","11,648.2","13,315.2","15,167.2","18,259.1","19,840.6","21,749.6","24,656.6","18,439.1","20,894.0","24,229.7","24,004.4","25,168.8","25,728.0","19,772.5","18,616.0","20,522.7","22,811.1","22,017.4","17,675.6","22,676.0","29,963.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"1,937.4","2,088.7","2,232.8","2,520.7","3,212.7","3,640.8","4,148.4","4,685.6","5,078.0","6,272.4","7,435.1","8,020.7","8,507.5","8,409.0","8,281.4","8,433.5","7,504.2","7,994.8","8,322.4","8,725.5","9,359.9","9,285.4","9,086.1","9,567.6","9,779.5","10,029.7","11,368.9","11,441.6","10,769.2","11,384.5","13,228.9","13,806.8","13,025.1","14,446.7","16,239.4","19,679.0","21,411.9","23,240.1","25,757.2","20,033.9","23,035.1","26,512.2","25,775.7","26,500.5","26,626.3","21,688.1","19,939.9","21,339.1","23,771.2","22,497.1","18,898.5","23,760.8","30,585.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,836.9,940.1,"1,049.1","1,178.0","1,549.8","1,617.6","1,905.8","2,279.4","2,463.7","3,117.0","3,813.4","4,554.3","4,546.1","4,228.8","4,256.8","4,301.0","3,843.4","4,058.7","4,265.0","4,523.0","4,954.5","4,959.0","4,954.4","5,152.9","5,238.9","5,361.1","5,930.7","5,899.8","5,604.0","6,095.5","7,595.5","7,569.8","7,253.6","8,286.9","9,494.9","11,395.5","13,028.1","13,387.8","15,499.9","11,558.1","12,900.2","14,547.9","14,529.5","14,601.2","14,935.6","12,110.3","10,942.5","11,881.9","13,100.5","12,528.0","10,588.3","13,591.4","17,589.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,334.3,357.0,373.6,441.8,588.1,658.6,720.0,785.7,914.3,"1,153.9","1,410.2","1,571.0","1,528.9","1,538.8","1,654.5","1,743.7","1,427.7","1,402.7","1,459.5","1,585.3","1,695.8","1,667.7","1,694.4","1,809.5","1,883.2","1,987.9","2,155.5","2,061.3","1,996.3","2,057.3","2,566.7","2,472.1","2,280.7","2,581.8","3,173.0","4,036.5","4,684.0","5,271.7","6,049.7","4,486.6","4,766.1","5,749.1","5,621.8","5,622.4","5,575.7","4,384.4","4,028.4","4,592.9","5,089.8","5,018.9","4,399.8","5,587.1","7,162.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"1,917.3","2,121.2","2,316.6","2,629.8","3,568.7","4,004.7","4,571.8","5,148.1","5,512.0","6,819.8","8,536.7","9,650.1","9,597.4","9,758.5","10,736.1","10,819.8","10,117.2","10,840.6","11,130.6","11,677.4","12,593.0","12,675.0","12,971.1","13,547.2","13,681.0","14,343.6","15,627.5","15,833.6","14,962.9","15,490.3","19,065.2","18,889.1","18,347.3","20,310.3","23,221.1","27,966.3","30,080.3","32,202.0","37,076.4","28,801.6","34,287.7","37,825.0","37,440.4","38,054.4","38,436.3","31,788.5","29,954.0","31,642.3","35,295.5","34,243.0","28,778.8","36,261.5","46,021.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,290.3,310.4,314.5,365.2,480.8,544.0,595.4,651.4,736.3,992.9,"1,246.6","1,434.9","1,453.1","1,382.7","1,477.9","1,459.7","1,237.9","1,227.1","1,261.1","1,341.9","1,409.7","1,427.7","1,402.1","1,441.4","1,437.6","1,457.4","1,601.0","1,596.1","1,444.2","1,599.9","1,971.8","2,169.8","1,924.0","2,104.2","2,537.8","3,123.2","3,404.8","3,958.3","4,677.4","3,410.7","4,374.5","6,399.3","6,966.4","7,657.3","8,219.4","5,552.9","4,619.6","5,393.1","6,192.2","5,984.5","4,805.7","6,120.8","8,184.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,667.8,707.2,754.6,835.6,"1,054.8","1,204.9","1,410.4","1,551.8","1,669.5","2,019.6","2,456.3","2,726.8","2,811.7","2,991.1","2,970.5","2,948.1","2,528.0","2,629.7","2,755.6","2,948.8","3,163.9","3,131.9","3,063.6","3,161.7","3,249.7","3,338.5","3,735.8","3,776.4","3,496.7","3,601.3","4,382.1","4,454.4","4,197.6","4,745.3","5,404.9","6,448.0","7,216.7","7,956.6","9,103.0","7,189.6","8,788.1","10,040.9","10,170.8","10,319.4","10,356.8","8,165.8","7,558.2","8,273.2","9,225.5","8,907.3","7,650.6","9,649.8","12,714.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
