"Hydropower total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"4,685","4,057","4,633","4,400","3,931","3,592","4,187","4,102","4,111","4,911","4,229","3,730","4,332","5,504","4,999","4,267","5,170","4,791","3,859","4,134","3,503","4,645","4,264","4,617","4,283","3,858","4,298","3,587","3,831","4,575","6,418","5,409","4,755","4,813","4,986","4,674","6,548","5,533","5,448","4,815","4,870","3,380","3,893","4,542","4,489","6,138","5,217","4,317","5,573","5,734","5,042","5,476","4,256","4,870","4,713","4,334","3,908","4,823","4,623","4,988","4,191","3,497","4,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,152,64,77,54,66,-106,-449,-688,"-1,167","-1,292","-1,375","-1,054",-741,"-1,135",-962,-929,-837,-570,-592,-967,-964,-788,-758,-776,-840,-833,-976,"-1,055",-746,-831,107,74,76,65,51,37,65,63,71,59,48,61,41,133,128,106,121,71,88,109,62,83,37,62,59,33,32,47,121,90,52,62,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,236,177,217,149,32,146,231,120,147,218,224,93,69,222,250,216,260,95,103,231,321,300,268,303,320,436,568,560,342,793,701,809,870,"1,003",726,900,722,883,807,828,755,810,903,582,474,563,676,914,"1,066",925,740,665,760,313,336,339,505,659,510,540,692,419,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"6,711","5,964","6,729","6,155","5,516","5,441","6,144","5,911","5,971","5,804","5,615","5,725","5,333","5,695","5,460","5,765","5,304","5,517","5,685","5,857","8,094","5,899","4,847","13,967","19,152","14,823","15,642","8,618","7,134","6,342","5,920","8,070","6,775","6,729","6,401","6,625","7,385","8,827","10,804","9,648","8,289","8,577","7,737","5,994","5,511","5,809","7,021","6,835","5,973","8,396","7,361","7,474","8,327","9,151","8,151","7,725","6,105","6,185","6,419","7,650","6,563","6,634","5,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"41,239","61,954","71,308","66,046","62,114","66,795","75,302","79,984","85,375","90,842","85,474","86,767","94,833","100,191","98,310","96,638","98,419","87,614","88,964","90,361","90,331","88,341","87,219","90,060","91,507","92,769","101,380","94,783","82,344","84,678","96,178","92,711","95,729","100,461","94,824","88,689","98,782","104,469","100,025","84,455","84,991","78,762","85,463","82,805","81,853","87,970","93,300","86,162","91,179","94,223","86,909","95,526","84,114","85,209","89,009","88,762","91,743","102,855","101,098","104,478","100,824","98,148","93,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,67,71,58,28,33,36,33,35,29,29,25,30,30,28,33,25,28,20,16,15,21,19,18,462,558,597,588,768,638,443,619,526,864,647,654,792,"1,356","1,731","1,387","1,443","1,989","1,743","1,666","1,743","2,490","1,760","2,156","1,400","1,319","1,801","1,464","1,309","1,413","1,874","1,631","1,558","1,707",946,833,"1,374","1,277","1,973","1,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"2,404","3,418","2,495",650,"1,045","2,814","1,748","2,477","5,207","6,434","4,796","4,718","4,938","12,833","12,250","10,049","5,258","5,969","6,015","7,926","4,485","3,827","7,130","8,530","7,979","13,580","10,069","10,059","6,977","8,161","9,317","6,558","11,061","14,868","8,580","9,485","7,362","9,967","11,972","10,834","7,769","8,000","6,783","6,136","10,156","8,975","2,128","10,461","13,004","12,121","9,584","5,142","3,908","7,432","4,874","9,089","8,781","6,948","6,943","13,318","9,739","9,438","6,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"42,534","42,625","45,424","46,526","51,198","56,326","57,047","60,940","69,767","95,187","102,061","117,251","124,463","96,046","122,847","117,925","120,729","83,201","108,882","101,903","103,119","109,729","154,301","153,802","159,120","139,142","139,112","120,987","118,309","129,681","140,712","140,193","108,224","122,368","106,524","139,088","153,221","159,353","136,146","155,720","130,051","97,735","117,418","113,450","112,872","105,596","129,145","114,600","115,343","112,710","104,210","144,378","134,468","112,929","120,314","106,638","117,882","130,659","120,931","103,459","108,913","94,374","106,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"6,230","5,081","5,183","4,368","4,371","4,533","4,923","6,531","4,034","3,126","4,661","2,657","5,232","4,682","4,751","5,378","4,830","4,111","2,593","4,169","2,505","2,250","6,240","3,993","4,937","3,315","4,956","3,861","2,407","4,912","9,790","6,552","8,795","8,109","9,382","6,927","10,277","7,674","8,125","6,642","7,814","5,630","7,542","11,417","10,766","7,616","9,704","7,629","8,697","9,154","7,957","10,977","7,649","8,614","9,012","8,884","8,102","10,657","14,541","11,953","9,118","10,696","9,051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,30,27,19,12,13,6,7,18,16,13,11,5,20,15,15,12,11,12,14,11,4,0,12,10,7,0,0,0,0,16,34,34,34,32,32,31,35,26,30,21,17,11,13,21,19,23,20,15,17,16,13,25,15,15,14,11,7,8,14,12,12,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
