"Total energy expenditures in the industrial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,345.0,358.2,378.5,446.7,600.9,695.0,742.1,854.6,935.6,"1,134.5","1,307.9","1,543.3","1,613.7","1,494.7","1,506.3","1,544.5","1,317.0","1,343.2","1,386.1","1,403.8","1,425.3","1,324.7","1,303.7","1,405.8","1,459.8","1,457.7","1,592.4","1,589.5","1,464.8","1,626.8","1,819.3","1,931.0","1,874.8","2,070.7","2,433.3","2,932.2","3,187.6","3,351.6","3,264.6","2,486.2","2,670.7","2,929.0","2,772.9","2,905.1","2,957.9","2,592.9","2,184.7","2,309.8","2,496.2","2,310.2","2,170.6","2,474.1","3,254.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,155.9,175.4,190.7,231.3,319.7,368.3,451.9,562.9,617.7,753.1,805.5,"1,016.0","1,112.8","1,127.0","1,221.7","1,108.8",943.5,902.3,949.9,"1,058.0","1,169.6","1,157.4","1,131.1","1,193.4","1,198.3","1,224.3","1,386.1","1,208.0","1,117.9","1,330.0","1,567.2","1,610.5","1,461.2","1,689.1","1,949.8","2,284.7","2,558.2","2,469.4","2,773.7","1,995.3","2,210.3","2,405.6","2,384.8","2,445.9","2,504.2","2,050.7","1,797.2","2,043.5","2,178.9","1,971.0","1,739.1","2,194.2","2,948.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,68.2,74.0,77.5,87.0,130.1,155.3,167.3,192.0,193.4,293.0,326.0,381.3,332.0,348.6,390.1,484.6,348.8,340.7,354.0,394.6,413.9,399.0,380.3,411.8,420.7,477.2,513.3,429.8,459.0,442.9,611.2,481.0,385.3,443.4,595.6,824.7,"1,078.6","1,241.3","1,408.2",945.0,817.2,946.6,957.7,875.0,852.5,626.8,507.4,585.4,645.2,667.9,560.6,698.6,974.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,331.8,375.7,417.0,484.2,739.8,886.0,"1,021.9","1,170.3","1,204.5","1,499.0","1,802.9","1,958.7","1,887.0","2,095.1","2,522.2","2,449.9","2,389.4","2,337.3","2,306.1","2,412.7","2,519.6","2,569.9","2,729.8","2,784.7","2,773.8","2,912.9","3,033.2","3,141.2","2,846.5","2,755.7","3,240.2","3,284.8","2,973.3","3,070.8","3,348.6","4,149.5","4,410.4","4,328.2","4,745.2","3,647.0","4,453.8","4,685.6","4,604.6","4,565.4","4,627.8","4,032.0","3,731.6","3,991.9","4,306.6","4,044.0","3,509.4","4,096.5","5,254.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,76.7,82.8,81.7,95.1,132.0,141.1,141.2,143.0,161.3,241.9,275.2,334.4,354.9,345.9,365.3,369.9,333.0,314.8,302.9,335.7,333.1,339.8,340.2,329.8,337.6,336.0,354.8,372.4,353.4,394.5,490.5,606.0,469.5,466.2,640.0,811.1,942.8,"1,005.0","1,334.1",911.5,"1,333.2","2,156.2","2,296.1","2,611.6","2,942.0","1,781.4","1,414.6","1,747.0","1,996.6","1,930.1","1,581.1","2,093.2","2,786.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,92.4,102.6,107.0,113.6,186.8,231.1,288.1,298.7,329.6,402.0,486.3,527.3,545.9,578.0,562.3,577.6,460.4,504.0,516.1,555.8,595.7,553.5,544.4,573.5,604.3,603.7,666.5,700.0,676.7,661.2,852.2,907.3,853.4,"1,043.7","1,224.8","1,464.0","1,715.4","1,905.1","2,263.5","1,710.6","1,901.4","2,142.9","2,404.8","2,319.8","2,253.5","1,881.8","1,806.6","1,982.1","2,000.1","1,912.9","1,822.2","2,229.5","2,963.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,41.7,48.8,52.1,61.0,94.4,108.3,126.7,145.7,153.2,148.8,197.7,260.1,243.3,251.8,290.2,315.0,286.7,315.5,305.5,323.6,359.2,314.8,357.8,367.4,287.9,299.0,314.2,311.0,307.2,313.4,391.9,386.5,347.0,427.3,464.4,532.0,545.4,541.3,582.8,496.1,509.9,543.8,514.9,537.3,545.1,499.9,435.5,493.6,506.9,475.9,448.2,495.5,610.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,515.7,567.1,603.1,681.5,"1,116.9","1,124.7","1,290.9","1,416.1","1,491.9","2,045.8","2,492.3","2,844.2","2,790.1","2,536.9","2,771.7","2,713.9","2,337.1","2,318.3","2,194.2","2,222.8","2,200.4","2,190.2","2,399.5","2,535.2","2,429.1","2,393.4","2,424.6","2,516.9","2,242.2","2,430.4","2,363.4","2,575.8","2,281.1","2,287.9","2,501.7","2,818.2","2,949.4","3,030.3","3,284.6","2,443.9","2,942.4","3,265.2","2,845.5","2,745.9","2,745.7","2,174.9","1,840.6","2,152.7","2,429.2","2,206.2","1,867.3","2,536.1","3,106.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,76.9,83.5,92.0,104.1,148.3,164.6,192.9,233.9,272.2,320.3,432.9,526.4,384.6,488.0,556.3,435.7,361.2,362.2,360.2,403.2,517.8,576.1,498.7,534.6,511.0,525.0,450.1,479.8,450.5,448.7,507.2,510.7,448.8,564.8,642.4,755.4,812.9,"1,125.5",981.8,689.5,837.6,978.4,"1,018.4","1,090.0","1,181.0",926.2,851.3,907.7,"1,018.5",993.1,881.3,"1,136.9","1,466.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,29.7,33.1,37.8,46.7,66.8,66.4,96.1,113.2,123.6,204.7,273.4,262.1,303.4,363.9,293.4,284.5,248.3,259.1,305.1,415.7,474.0,454.9,495.9,535.2,610.5,619.7,669.9,670.7,655.0,680.3,779.3,972.6,"1,011.3","1,073.0","1,241.2","1,489.0","1,683.3","1,710.6","1,786.1","1,610.7","1,677.2","1,511.9","1,481.0","1,559.0","1,879.3","1,398.4","1,339.0","1,465.6","1,587.6","1,571.6","1,194.4","1,480.9","2,162.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
