"Total energy expenditures in the commercial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,205.7,239.0,264.1,301.5,416.9,483.5,544.5,611.2,664.7,748.0,853.0,920.3,"1,020.1","1,110.8","1,020.1",995.2,980.1,986.8,975.8,973.1,"1,006.1","1,107.6","1,157.7","1,225.0","1,373.3","2,011.8","2,060.0","2,108.9","2,196.9","2,263.6","2,374.4","2,500.2","1,977.2","1,924.4","2,141.3","2,658.3","4,215.3","4,606.8","5,022.3","4,542.4","4,536.2","4,470.0","4,067.7","4,193.5","4,431.6","4,309.3","4,162.0","4,162.6","4,209.1","4,031.8","3,574.8","4,033.0","5,159.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,40.7,44.8,50.9,55.7,73.7,97.3,110.6,129.1,131.3,150.9,214.5,244.1,245.1,252.9,301.0,290.9,300.8,284.0,324.6,347.2,391.5,405.4,396.9,423.7,443.2,437.1,505.0,501.0,485.2,507.5,606.6,638.5,615.1,704.1,742.5,853.6,930.6,"1,087.7","1,203.2",967.0,968.6,"1,111.1",981.1,978.6,"1,076.4",936.7,812.5,877.6,"1,040.0",980.2,817.5,"1,014.7","1,321.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,471.7,521.6,574.2,655.5,801.3,932.8,"1,091.3","1,137.1","1,252.8","1,467.9","1,799.7","1,971.0","2,151.1","2,303.3","2,435.3","2,528.8","2,420.6","2,549.7","2,564.0","2,684.6","2,695.2","2,778.7","2,795.6","3,364.7","3,446.6","3,506.2","3,714.5","3,705.6","3,625.4","3,812.3","3,960.2","3,838.3","4,065.8","4,110.5","4,498.8","4,954.8","5,220.4","5,383.6","5,711.8","5,264.7","5,331.5","5,777.5","5,679.0","5,805.2","6,291.8","5,681.7","5,545.6","5,742.0","6,004.1","5,963.8","5,593.4","6,324.0","7,148.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,161.0,176.5,196.4,207.8,261.4,324.6,362.6,388.8,448.7,473.6,522.1,638.4,794.0,907.1,"1,012.8",993.6,871.1,782.1,896.1,914.9,983.9,948.8,939.9,"1,019.8","1,032.6","1,069.1","1,207.2","1,250.7","1,163.9","1,188.7","1,457.0","2,046.3","1,847.2","2,169.0","2,206.1","2,576.3","2,732.8","2,856.3","3,185.8","2,760.4","2,809.4","2,971.0","2,814.7","3,237.1","3,563.0","3,180.9","3,174.9","3,395.0","3,523.5","3,385.1","3,097.3","3,612.1","4,634.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,229.5,248.6,277.3,297.9,343.8,406.6,597.5,674.8,767.8,887.8,950.4,994.6,"1,171.0","1,278.9","1,315.1","1,333.7","1,393.9","1,456.4","1,541.5","1,564.2","1,603.5","1,646.6","1,614.8","1,734.4","1,742.9","1,766.4","1,935.1","1,962.9","1,924.8","1,948.5","2,136.2","2,431.4","2,216.4","2,275.2","2,417.8","2,594.6","2,683.3","2,810.8","3,097.8","2,952.1","3,142.4","3,281.3","3,195.4","3,465.6","3,608.8","3,610.0","3,507.7","3,600.2","3,794.8","3,509.4","3,156.1","3,511.0","4,017.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,80.3,92.3,108.4,120.2,155.8,166.3,208.8,250.4,279.0,389.4,424.7,546.5,508.0,530.3,513.4,542.7,561.5,574.7,603.3,640.3,652.2,647.3,642.3,659.8,691.4,701.2,778.7,878.9,907.8,883.4,"1,011.7","1,110.5","1,058.3","1,148.8","1,266.2","1,392.2","1,517.2","1,588.5","1,728.7","1,520.2","1,585.1","1,617.3","1,533.9","1,712.1","1,852.2","1,788.2","1,637.5","1,734.1","1,833.8","1,789.2","1,629.1","1,819.2","2,123.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,41.4,43.2,46.8,52.2,58.3,73.4,77.3,83.4,102.6,119.2,127.9,157.6,177.8,221.8,306.5,291.7,275.6,203.5,209.3,212.1,222.1,232.5,234.9,249.8,257.9,257.0,283.1,286.4,286.0,282.8,310.5,368.2,367.2,442.3,482.7,522.8,551.2,570.1,654.3,651.0,620.7,689.7,647.6,677.8,708.7,700.9,691.3,729.3,757.8,762.0,724.6,814.2,921.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,197.8,230.2,260.2,296.9,374.6,424.9,485.4,566.3,620.6,686.0,837.2,"1,014.4","1,110.3","1,272.0","1,505.1","1,532.7","1,610.8","1,708.4","1,769.7","1,853.8","1,968.4","2,029.3","2,111.4","2,225.6","2,292.2","2,367.2","2,548.0","2,614.4","2,688.9","2,761.1","3,076.1","3,223.7","3,180.5","3,515.7","3,722.3","4,117.2","4,315.3","4,508.7","4,864.7","4,808.9","4,991.0","4,749.6","4,885.6","4,923.0","5,137.7","5,146.0","5,048.4","5,005.8","5,261.9","5,306.8","4,866.9","5,217.6","6,427.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,27.7,27.9,30.6,33.7,46.5,49.3,55.6,60.9,75.7,94.5,128.7,126.6,142.7,155.0,199.4,197.8,179.1,166.7,173.1,172.0,190.8,200.1,191.3,199.3,201.0,215.1,227.8,229.6,222.2,226.7,264.1,307.4,292.6,312.0,335.6,385.6,391.6,414.1,492.8,443.9,483.2,637.6,638.8,783.5,788.5,699.9,695.2,750.1,772.6,781.1,749.5,835.0,"1,028.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,88.4,98.9,101.5,108.6,122.9,140.5,177.2,201.0,208.6,253.0,296.2,365.4,404.8,484.6,542.6,533.7,485.9,479.0,515.2,531.1,541.5,560.4,532.6,547.6,589.8,588.4,624.4,627.1,585.8,574.5,675.0,733.0,688.0,722.4,759.3,818.6,865.4,920.1,"1,037.3",956.1,997.0,997.8,989.1,"1,088.1","1,135.7","1,067.8","1,027.6","1,075.4","1,159.7","1,133.5","1,055.9","1,129.2","1,329.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
