"Biomass total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"23,838","23,591","23,878","25,283","25,807","27,094","28,335","29,439","31,024","31,321","31,772","30,687","32,430","32,570","31,819","31,785","34,710","38,515","41,272","43,645","32,634","30,545","37,581","33,512","38,974","39,233","35,052","30,957","32,536","36,827","26,519","26,869","27,672","32,028","32,125","37,066","40,674","36,802","34,768","36,161","36,287","20,873","24,043","27,134","28,078","31,227","38,198","41,398","40,219","47,590","54,853","51,871","50,600","56,132","55,035","49,070","48,647","47,636","47,321","42,092","32,268","34,256","32,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"29,178","28,844","28,994","29,001","30,076","30,050","30,605","31,635","32,693","32,785","29,478","29,616","32,322","32,490","33,864","32,705","38,004","41,017","45,596","48,018","96,018","99,961","96,140","109,362","108,141","107,924","91,360","88,489","91,780","118,406","108,995","117,335","122,617","124,594","120,409","126,184","124,116","124,454","113,231","120,655","126,280","118,708","112,129","100,126","102,313","119,065","110,410","118,454","141,367","109,305","121,675","121,039","118,384","124,043","118,906","124,772","106,511","102,138","103,513","100,261","84,993","81,806","79,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"37,260","36,172","35,748","37,021","36,600","36,904","37,874","35,984","36,433","36,866","36,432","35,346","37,595","36,277","38,241","35,906","41,591","45,003","55,027","60,353","90,575","95,908","96,472","109,405","103,580","103,801","108,475","111,149","116,374","107,299","84,428","91,714","93,884","86,947","90,764","92,386","104,636","97,296","93,330","94,942","102,421","81,423","80,953","96,602","100,545","113,760","112,028","124,684","139,644","128,651","139,146","153,361","151,415","162,703","163,477","174,785","170,524","168,007","175,680","170,065","146,187","150,458","154,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"25,415","24,626","24,183","23,511","23,326","23,366","22,682","23,386","23,361","23,698","23,443","23,503","24,886","25,474","26,312","27,410","29,536","29,734","39,033","44,454","46,625","46,814","48,450","51,387","55,883","58,586","55,151","51,491","54,454","55,360","51,571","54,336","61,107","65,761","68,854","73,183","71,951","78,273","76,055","81,221","87,231","89,679","86,088","88,866","98,774","99,649","103,096","119,922","128,586","145,519","168,779","167,781","162,070","160,530","175,139","178,084","178,397","172,075","178,414","178,248","153,708","160,540","167,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"33,634","31,865","30,942","29,351","27,890","27,017","26,801","24,867","25,219","24,613","23,611","23,039","23,001","22,950","26,147","27,099","31,860","33,242","39,125","44,555","25,084","23,533","26,643","26,045","30,566","31,270","28,576","25,904","28,599","26,225","20,139","20,623","21,551","19,596","18,901","18,252","18,022","14,852","13,923","14,756","16,988","21,557","23,888","27,894","29,127","42,868","41,371","50,036","61,784","69,134","76,340","73,032","65,479","74,874","80,006","69,268","70,062","70,098","74,035","72,482","63,903","63,630","68,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"46,565","45,532","44,673","39,154","38,448","37,759","37,816","34,261","35,452","34,609","33,527","32,841","32,432","32,195","31,279","31,152","34,819","36,230","37,576","37,510","38,097","41,070","44,643","45,071","50,468","50,892","49,196","45,439","47,412","76,395","84,840","89,472","90,783","92,863","95,092","94,256","85,599","84,113","63,943","64,858","75,116","55,795","49,338","44,948","60,823","62,397","63,042","63,940","49,751","56,058","73,892","74,485","87,564","75,915","77,061","73,235","75,939","69,989","70,021","66,182","63,626","63,833","62,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"7,520","7,342","7,217","7,418","8,021","7,813","7,638","7,353","7,845","7,431","6,627","6,721","6,324","6,516","5,030","6,223","7,172","9,053","10,880","12,310","11,086","12,633","12,523","14,047","14,465","14,550","20,378","18,024","18,684","10,810","11,767","17,218","10,152","9,794","10,172","16,550","15,763","16,223","14,786","15,397","15,341","12,032","11,122","12,073","12,656","18,738","18,232","21,835","20,759","15,359","15,984","8,386","8,017","8,992","9,317","18,627","19,566","19,663","23,399","22,915","17,867","18,506","20,390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"73,725","70,411","69,423","70,745","69,084","67,314","68,730","66,084","68,041","67,728","65,900","66,148","68,940","68,892","67,660","66,411","78,341","91,398","102,371","109,678","78,918","77,650","86,826","85,048","93,651","94,794","87,782","81,741","85,442","94,410","97,501","76,354","100,004","105,849","113,339","111,566","112,242","109,801","104,168","104,616","107,174","104,714","94,923","115,541","92,753","93,008","101,157","87,192","136,380","128,262","142,071","149,240","148,190","157,380","155,000","147,837","147,206","150,480","146,318","145,761","140,049","135,677","132,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,473,438,403,368,368,333,333,351,351,368,386,386,386,386,421,456,473,526,526,561,"2,448","2,451","3,168","3,390","4,163","4,528","4,718","4,399","4,412","4,398","3,273","3,682","3,707","3,545","4,211","4,428","3,355","3,578","3,700","3,778","4,273","5,490","5,285","5,791","6,101","6,757","6,529","12,724","13,804","19,798","23,219","25,792","24,760","26,922","27,184","28,663","31,691","36,581","35,688","35,347","34,646","34,748","35,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"3,108","2,948","2,675","2,573","2,311","1,901","1,848","1,743","1,673","1,603","1,567","1,602","2,582","2,669","2,652","2,775","3,138","3,398","3,794","3,933","5,903","5,603","7,067","7,360","8,816","9,582","9,116","8,501","9,024","9,918","7,757","8,422","9,884","10,376","11,008","18,477","21,620","24,589","25,179","26,697","28,044","31,405","32,589","34,722","42,026","41,346","43,059","57,824","78,385","77,950","115,584","117,400","107,554","109,254","117,619","117,972","124,277","125,011","125,851","126,116","108,390","120,169","120,376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
