"Total energy consumption in the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"172,907","172,641","198,166","199,621","207,162","217,118","229,080","225,512","248,291","255,378","273,132","273,569","289,740","303,286","296,987","297,309","310,253","321,158","325,814","318,489","318,805","323,647","312,820","305,619","308,145","317,567","325,804","338,488","351,104","360,576","331,309","336,614","344,049","342,219","343,230","348,942","357,895","368,557","379,089","399,939","402,622","404,601","401,186","416,782","439,148","457,097","463,348","457,283","441,077","457,231","459,433","446,851","446,143","450,619","445,322","457,390","445,455","444,401","461,595","465,669","386,402","419,389","394,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"66,698","70,106","70,398","72,081","71,079","68,812","75,656","73,728","80,026","81,208","87,633","93,187","108,008","111,181","96,675","92,405","97,198","98,683","98,767","93,555","83,348","82,477","85,807","83,798","89,155","94,003","100,742","108,321","122,448","110,119","115,386","105,823","104,061","105,456","107,390","101,923","105,327","110,610","107,844","111,710","119,837","107,045","121,967","130,781","121,265","130,726","130,780","125,114","116,466","122,086","118,054","117,948","112,562","125,979","127,284","127,712","127,713","120,633","107,305","106,911","97,941","105,458","107,626",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"387,276","388,661","405,870","429,765","450,804","467,377","501,020","526,853","574,018","606,128","593,490","607,502","660,210","688,431","665,594","660,805","696,664","712,202","724,044","690,809","620,136","600,307","567,289","577,010","601,213","614,673","634,968","667,095","692,249","685,553","683,927","695,925","701,059","738,726","741,774","760,951","767,783","782,989","801,137","837,783","815,945","802,851","824,676","795,746","805,719","803,041","798,193","789,282","740,516","723,131","745,590","733,002","721,818","753,202","744,611","766,505","775,631","764,210","787,570","778,764","651,009","709,195","710,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"181,361","182,477","185,949","194,347","197,456","207,273","221,296","222,770","244,657","260,291","274,085","288,738","302,868","322,903","317,686","319,516","326,930","330,760","348,762","359,554","331,579","317,753","306,687","310,839","340,655","333,044","336,886","334,133","348,749","343,924","339,237","358,208","380,355","401,059","416,902","433,207","443,367","440,457","463,324","495,464","512,778","501,577","511,621","513,789","528,860","532,597","522,956","527,429","502,174","464,302","464,784","454,656","462,527","466,237","468,173","468,450","492,453","495,160","495,866","500,653","404,751","443,814","447,199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"253,771","255,853","276,086","282,147","292,306","304,630","305,174","322,431","359,165","370,069","390,887","403,843","423,903","428,118","421,345","424,725","444,349","456,659","468,827","446,792","410,564","399,232","404,843","409,781","420,918","430,001","449,790","459,201","476,640","483,578","477,139","474,217","491,151","505,757","520,026","539,986","566,693","578,788","627,746","620,741","555,305","555,087","570,986","593,181","576,875","590,776","594,797","601,542","574,297","559,842","575,610","563,374","544,298","549,561","558,151","558,921","569,993","565,954","566,266","567,712","511,241","544,777","544,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"129,284","129,426","141,230","153,210","157,763","161,776","168,991","176,286","198,757","210,252","216,001","228,125","240,855","251,348","246,921","231,074","234,643","248,691","258,179","258,528","260,868","257,914","252,704","241,494","243,198","250,723","269,475","294,124","308,474","288,807","291,495","315,059","327,507","329,774","331,430","335,696","340,820","350,986","352,206","370,166","359,299","348,223","354,481","376,154","363,590","356,810","376,532","372,681","360,998","356,080","336,278","325,687","351,907","319,049","322,909","338,132","344,493","337,022","339,146","348,013","332,388","348,584","352,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"58,237","61,779","60,378","58,193","57,799","57,766","62,119","56,816","61,677","66,235","68,133","71,279","75,979","83,795","85,511","82,156","88,270","85,826","97,496","91,657","88,911","83,829","80,847","83,360","82,805","81,484","81,233","82,080","84,305","82,922","81,965","81,075","87,906","90,766","94,515","98,500","97,001","99,053","99,527","103,986","105,831","107,460","107,757","102,751","110,574","117,881","120,853","126,822","117,753","112,336","116,888","117,870","114,944","117,400","112,793","111,062","115,793","117,678","118,314","116,283","116,901","118,281","115,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"231,966","243,042","249,869","264,626","274,217","279,390","295,241","307,337","328,939","348,128","364,046","374,922","399,104","426,207","426,363","423,769","442,970","463,617","483,389","480,386","443,752","448,448","448,510","468,538","478,735","493,450","519,831","544,494","575,667","549,735","537,113","530,406","539,320","559,650","579,176","601,138","638,394","649,491","664,594","679,167","702,536","692,570","700,774","714,571","735,478","748,794","739,578","758,070","756,173","699,861","763,479","743,531","721,590","743,499","755,496","770,647","791,435","799,636","811,572","828,177","737,123","805,798","806,544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"41,695","40,677","46,790","47,514","48,313","47,312","49,886","52,606","57,642","55,525","54,265","58,251","60,802","62,694","60,288","63,051","65,875","70,600","73,158","72,991","72,472","72,620","73,199","69,206","70,543","68,752","66,907","67,693","68,573","67,317","65,276","66,390","69,684","73,265","72,715","72,855","74,552","75,700","66,695","81,957","80,608","87,900","87,666","89,108","92,170","92,118","91,476","103,621","93,261","86,895","100,392","115,374","130,829","136,301","145,537","135,535","122,111","130,585","138,051","145,775","128,490","136,426","135,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"94,221","96,624","101,163","108,334","107,127","102,134","107,674","116,443","129,823","132,426","139,324","142,822","155,550","163,493","153,188","149,936","158,184","168,375","172,968","156,116","141,002","131,799","135,509","144,332","141,399","141,050","141,525","148,017","161,225","153,416","151,842","148,328","154,150","150,645","153,903","163,477","177,952","180,913","188,843","194,152","172,532","162,383","167,087","172,444","173,762","172,823","174,913","177,131","176,723","176,690","206,500","199,950","193,164","194,014","201,089","200,757","199,249","200,744","209,459","208,830","191,259","199,312","199,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
