"Total energy expenditures in the transportation sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,623.7,657.8,727.6,802.7,"1,164.9","1,270.4","1,372.1","1,518.8","1,560.7","1,999.8","2,806.8","3,207.2","2,926.9","2,686.3","2,648.2","2,839.5","2,301.3","2,539.2","2,739.6","3,039.0","3,160.8","3,076.5","3,176.2","3,169.7","3,233.8","3,347.6","3,606.0","3,640.3","3,260.6","3,661.7","4,558.4","4,454.7","4,221.1","4,972.2","6,166.6","7,963.3","9,233.4","9,805.0","11,370.0","8,392.9","9,920.3","12,335.3","12,725.2","12,597.1","12,024.4","8,905.4","7,659.3","8,723.2","9,817.8","9,342.8","6,538.9","9,407.0","12,075.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,199.9,218.0,228.5,250.9,345.4,364.6,398.3,440.3,464.8,580.6,748.1,827.5,809.1,776.8,791.9,852.0,721.1,806.9,926.8,898.2,"1,055.8",954.2,939.5,929.9,967.3,961.1,"1,046.5","1,100.2",911.4,"1,046.2","1,397.2","1,155.9","1,284.5","1,617.4","1,789.5","2,282.8","2,596.8","2,770.2","3,183.9","2,326.5","2,662.8","3,392.0","3,400.2","3,719.8","3,648.3","2,623.9","2,322.1","2,459.5","2,490.7","2,341.5","1,834.3","2,548.7","3,691.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"1,455.6","1,518.2","1,625.9","1,972.4","2,777.6","2,897.5","3,163.4","3,466.4","3,654.8","4,697.1","5,853.1","6,228.9","5,656.7","5,220.2","5,336.9","5,417.7","4,190.2","4,594.4","4,698.3","5,049.6","5,730.2","5,539.5","5,416.3","5,675.2","5,806.5","6,033.6","6,620.1","6,686.0","6,086.1","6,858.4","9,069.4","8,567.5","8,255.1","9,158.8","10,953.9","13,651.0","15,347.2","16,724.9","18,567.5","12,908.7","15,678.0","19,700.6","19,908.4","20,426.1","19,333.4","14,123.4","12,621.3","13,952.4","16,275.2","15,124.3","10,447.3","15,725.9","21,553.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,703.1,742.4,774.6,871.7,"1,205.9","1,303.8","1,419.7","1,558.2","1,607.6","2,239.4","2,864.5","3,093.7","2,959.6","2,831.7","3,013.1","2,995.1","2,313.5","2,428.7","2,540.0","2,787.2","3,051.6","3,079.7","3,157.8","3,307.5","3,459.9","3,578.0","4,058.6","3,990.1","3,650.9","4,139.4","5,517.8","5,307.3","5,053.6","5,673.5","6,924.8","8,665.8","9,775.2","10,905.7","12,360.4","8,330.9","9,982.1","12,541.1","12,979.2","12,890.5","12,274.7","8,768.4","7,964.8","9,152.7","10,482.3","10,035.4","6,693.7","9,948.8","14,037.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,878.6,972.0,"1,013.8","1,132.9","1,580.8","1,699.4","1,874.1","2,060.3","2,130.6","2,811.5","3,548.5","3,851.8","3,780.3","3,419.0","3,424.1","3,488.6","2,679.4","3,020.6","3,093.7","3,410.9","3,952.8","3,762.1","3,810.6","3,769.5","3,975.0","4,131.8","4,852.9","4,904.0","4,491.5","4,908.9","6,018.0","5,682.2","5,511.2","6,517.1","7,695.9","10,019.1","11,324.3","12,540.3","14,425.4","9,886.0","12,107.5","15,101.8","14,953.3","14,813.1","14,457.6","10,291.4","9,208.7","10,305.4","11,679.0","11,164.3","8,347.8","12,260.8","16,892.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,409.1,455.0,489.5,529.9,735.3,750.7,845.4,988.7,"1,052.2","1,423.6","1,918.0","2,239.3","2,102.2","1,742.3","1,693.2","1,795.7","1,425.0","1,626.4","1,732.6","1,817.0","2,070.8","2,077.0","2,110.7","2,123.4","2,153.3","2,224.2","2,430.1","2,499.9","2,192.8","2,541.3","3,409.9","3,088.3","3,091.8","3,719.3","4,437.8","5,672.4","6,707.2","7,121.5","8,505.0","5,706.3","6,600.8","8,092.5","8,414.0","8,037.2","7,910.9","5,811.9","5,243.3","5,815.9","6,519.6","6,258.8","4,858.5","7,004.4","9,667.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,157.9,168.0,173.3,214.8,305.5,323.1,361.3,380.5,461.8,574.1,767.3,832.9,765.3,704.3,693.8,669.5,539.5,592.7,620.8,675.7,754.4,712.6,778.3,813.5,870.7,907.1,974.8,959.7,890.4,960.8,"1,219.7","1,156.5","1,080.9","1,164.5","1,482.7","1,987.9","2,308.5","2,668.0","3,038.4","2,055.0","2,526.6","3,216.1","3,210.9","3,220.7","3,102.8","2,186.3","1,998.2","2,333.1","2,720.5","2,570.4","2,169.8","3,035.8","4,008.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,900.7,985.0,"1,065.0","1,202.1","1,644.9","1,792.1","1,995.1","2,163.4","2,336.7","3,111.6","4,092.0","4,654.3","4,427.9","4,075.6","4,070.6","4,213.1","3,332.2","3,770.4","3,914.8","4,165.2","4,854.1","4,666.2","4,587.8","4,654.7","4,831.0","5,071.9","5,700.2","5,836.7","5,118.0","5,630.4","7,801.0","7,281.8","7,079.4","8,196.1","10,210.4","13,220.9","14,790.3","16,365.2","20,015.9","12,975.4","16,601.6","20,705.4","20,632.5","20,824.2","20,378.5","14,655.8","13,460.8","15,186.6","17,290.1","16,551.3","12,372.4","18,366.8","25,018.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,118.6,130.9,125.8,156.9,210.7,249.1,279.5,318.4,345.6,460.3,631.5,726.3,683.6,604.6,612.4,589.6,444.7,481.5,503.6,540.5,596.3,583.3,580.7,607.0,593.8,597.1,671.8,643.3,557.3,649.6,830.0,841.0,786.2,892.0,"1,087.7","1,394.0","1,557.4","1,992.8","2,180.6","1,488.5","1,977.1","2,964.4","3,440.4","3,577.8","3,706.7","2,429.8","1,885.6","2,218.9","2,689.6","2,511.0","1,789.6","2,422.9","3,474.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,317.0,324.9,354.1,407.9,526.1,578.3,652.3,721.6,781.1,982.3,"1,233.0","1,332.5","1,292.9","1,231.7","1,207.9","1,185.2",983.1,"1,059.8","1,088.9","1,195.2","1,368.0","1,327.9","1,331.5","1,308.3","1,330.0","1,406.4","1,657.0","1,620.4","1,450.9","1,591.1","1,957.9","1,767.1","1,705.5","1,954.0","2,371.1","2,979.2","3,429.4","3,821.8","4,351.3","3,181.9","4,460.8","5,452.6","5,424.5","5,393.3","5,391.3","3,809.5","3,332.3","3,773.7","4,478.8","4,304.6","3,251.0","4,684.3","6,595.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
